2550	Skynet	1029.5339642625381
3711	Iron Mustangs	1025.6995407529598
3636	Generals	1023.6801597008532
4060	SWAG	1023.0510741962487
2990	Hotwire	1022.2773514828742
4110	Deep Space Niners	1020.7052000685114
5198	Knight Tech	1018.265892643387
1359	Scalawags	1017.2380700384915
4057	Steampunk	1017.1060970796628
753	High Desert Droids	1017.1060970796628
4488	Shockwave	1016.9229414289364
6343	SteelRidge Robotics	1016.22589644781
3674	Cloverbots	1016.0420215122057
4051	Sabin Sharks	1016.0
955	CV Robotics	1014.9085265060863
6445	Ctec	1011.8911472374216
2733	Pigmice	1009.4331874828005
6465	Mystic Biscuit	1008.1031015544916
5977	Rosemary Anderson	1005.5789231199701
2521	SERT	1003.0098686731018
3024	My Favorite Team	1000.5235575759517
6456	WiFires	996.7709945784209
2635	Lake Monsters	996.2228408199474
2471	Mean Machine	994.7523054835858
6443	AEMbot	990.3927512578199
5085	Lakerbots	986.7523054835858
3673	Cyborg Seagulls	986.7523054835858
997	Spartan Robotics	984.4142223086087
1540	Flaming Chickens	982.2374428713604
1432	Metal Beavers	981.7155372477116
1425	Error Code Xero	981.6792067023829
847	PHRED	978.3807641575686
2811	Stormbots	978.0443461551474
6437	Pacific Quakers	976.7224766715152
2411	Rebel Alliance	973.5564118090645
2915	Pandamonium	972.8657979577233
3574	High Tekerz	969.809338386792
4043	Nerd Herd	969.1018559160004
568	Nerds of the North	966.5264778652137
